model_id,car_id,firm_id,price,domestic,japan,european,const,hpwt,air,mpd,space,mpg,trend,year,share,quantity,logit_depvar,obsindex,model_id_str,loghpwt,logmpg,logspace,demeaned_const,demeaned_hpwt,demeaned_air,demeaned_mpd,demeaned_space,demeaned_loghpwt,demeaned_logmpg,demeaned_logspace,demeaned_trend,demeaned_demand_firm_const,demeaned_demand_firm_hpwt,demeaned_demand_firm_air,demeaned_demand_firm_mpd,demeaned_demand_firm_space,demeaned_demand_rival_const,demeaned_demand_rival_hpwt,demeaned_demand_rival_air,demeaned_demand_rival_mpd,demeaned_demand_rival_space,demeaned_supply_firm_const,demeaned_supply_firm_loghpwt,demeaned_supply_firm_air,demeaned_supply_firm_logmpg,demeaned_supply_firm_logspace,demeaned_supply_firm_trend,demeaned_supply_rival_const,demeaned_supply_rival_loghpwt,demeaned_supply_rival_air,demeaned_supply_rival_logmpg,demeaned_supply_rival_logspace,demeaned_supply_rival_trend,log_income_mean,demand_firm_const,demand_firm_hpwt,demand_firm_air,demand_firm_mpd,demand_firm_space,demand_rival_const,demand_rival_hpwt,demand_rival_air,demand_rival_mpd,demand_rival_space,supply_firm_const,supply_firm_loghpwt,supply_firm_air,supply_firm_logmpg,supply_firm_logspace,supply_firm_trend,supply_rival_const,supply_rival_loghpwt,supply_rival_air,supply_rival_logmpg,supply_rival_logspace,supply_rival_trend,ncar_firm_const,demeaned_ncar_firm_const
1,129,15,4.935802469136,1,0,0,1,0.528996865204,0,1.888145604396,1.1502,1.697,0,71,0.001051292819,70.096,-6.725221995827,1,AMGREM71,-0.636772773031755,0.528861986252089,0.139935840297517,0,0.134621592176417,-0.241768155164637,-0.196724231219862,-0.159958797023003,0.319727787684357,-0.175854404074023,-0.114233113462643,-10.5403698691926,-10.3301759133965,-3.60667200545698,-3.57465042850699,-22.5447712987238,-13.9963501488498,-23.084799278304,1.14954098642393,-30.9300857013983,-72.0138742898066,-16.6328318227324,-10.3301759133965,11.0323126002027,-3.57465042850699,-7.99398946006898,-2.96650900679345,-168.878664862427,-23.084799278304,43.3551029557297,-30.9300857013983,-34.8683306028932,3.23834374908694,-1329.45872801083,2.01156,5,2.64498432602,0,9.44072802198,5.751,92,46.925502777323,0,176.05817307693,132.7013,5,-3.18386386515877,0,2.64430993126045,0.699679201487583,0,92,-65.7064750355961,0,48.2951845321741,31.5225807298291,0,5,-10.3301759133965
2,130,15,5.516049382716,1,0,0,1,0.494324423288,0,1.935989010989,1.278,1.74,0,71,0.000670076189,44.678,-7.175606516457,2,AMHORN71,-0.704563250041579,0.553885113226438,0.245296355955343,0,0.0999491502604171,-0.241768155164637,-0.148880824626863,-0.0321587970230031,0.251937310674533,-0.150831277099674,-0.00887259780481617,-10.5403698691926,-10.3301759133965,-3.60667200545698,-3.57465042850699,-22.5447712987238,-13.9963501488498,-23.084799278304,1.14954098642393,-30.9300857013983,-72.0138742898066,-16.6328318227324,-10.3301759133965,11.0323126002027,-3.57465042850699,-7.99398946006898,-2.96650900679345,-168.878664862427,-23.084799278304,43.3551029557297,-30.9300857013983,-34.8683306028932,3.23834374908694,-1329.45872801083,2.01156,5,2.47162211644,0,9.679945054945,6.39,92,46.925502777323,0,176.05817307693,132.7013,5,-3.5228162502079,0,2.76942556613219,1.22648177977672,0,92,-65.7064750355961,0,48.2951845321741,31.5225807298291,0,5,-10.3301759133965
3,132,15,7.108641975309,1,0,0,1,0.467613439557,0,1.716799450549,1.4592,1.543,0,71,0.000340527326,22.705,-7.852502562348,3,AMJAVL71,-0.760113308229675,0.433728573381024,0.37788834033793,0,0.0732381665294171,-0.241768155164637,-0.368070385066863,0.149041202976997,0.196387252486437,-0.270987816945088,0.123719386577771,-10.5403698691926,-10.3301759133965,-3.60667200545698,-3.57465042850699,-22.5447712987238,-13.9963501488498,-23.084799278304,1.14954098642393,-30.9300857013983,-72.0138742898066,-16.6328318227324,-10.3301759133965,11.0323126002027,-3.57465042850699,-7.99398946006898,-2.96650900679345,-168.878664862427,-23.084799278304,43.3551029557297,-30.9300857013983,-34.8683306028932,3.23834374908694,-1329.45872801083,2.01156,5,2.338067197785,0,8.583997252745,7.296,92,46.925502777323,0,176.05817307693,132.7013,5,-3.80056654114838,0,2.16864286690512,1.88944170168965,0,92,-65.7064750355961,0,48.2951845321741,31.5225807298291,0,5,-10.3301759133965
4,134,15,6.83950617284,1,0,0,1,0.42654028436,0,1.687870879121,1.6068,1.517,0,71,0.000522241886,34.821,-7.424867073844,4,AMMATA71,-0.852048463146246,0.416734700366395,0.47424462350299,0,0.0321650113324171,-0.241768155164637,-0.396998956494863,0.296641202976997,0.104452097569866,-0.287981689959717,0.220075669742831,-10.5403698691926,-10.3301759133965,-3.60667200545698,-3.57465042850699,-22.5447712987238,-13.9963501488498,-23.084799278304,1.14954098642393,-30.9300857013983,-72.0138742898066,-16.6328318227324,-10.3301759133965,11.0323126002027,-3.57465042850699,-7.99398946006898,-2.96650900679345,-168.878664862427,-23.084799278304,43.3551029557297,-30.9300857013983,-34.8683306028932,3.23834374908694,-1329.45872801083,2.01156,5,2.1327014218,0,8.439354395605,8.034,92,46.925502777323,0,176.05817307693,132.7013,5,-4.26024231573123,0,2.08367350183198,2.37122311751495,0,92,-65.7064750355961,0,48.2951845321741,31.5225807298291,0,5,-10.3301759133965
5,136,15,8.928395061728,1,0,0,1,0.452488687783,0,1.504285714286,1.6458,1.352,0,71,0.000442423061,29.499,-7.590731362432,5,AMAMBS71,-0.792992515529231,0.301584977620772,0.498226588189475,0,0.058113414755417,-0.241768155164637,-0.580584121329863,0.335641202976997,0.163508045186881,-0.40313141270534,0.244057634429316,-10.5403698691926,-10.3301759133965,-3.60667200545698,-3.57465042850699,-22.5447712987238,-13.9963501488498,-23.084799278304,1.14954098642393,-30.9300857013983,-72.0138742898066,-16.6328318227324,-10.3301759133965,11.0323126002027,-3.57465042850699,-7.99398946006898,-2.96650900679345,-168.878664862427,-23.084799278304,43.3551029557297,-30.9300857013983,-34.8683306028932,3.23834374908694,-1329.45872801083,2.01156,5,2.262443438915,0,7.52142857143,8.229,92,46.925502777323,0,176.05817307693,132.7013,5,-3.96496257764616,0,1.50792488810386,2.49113294094738,0,92,-65.7064750355961,0,48.2951845321741,31.5225807298291,0,5,-10.3301759133965
6,138,19,7.153086419753,1,0,0,1,0.450870646766,0,1.726813186813,1.6224,1.552,0,71,0.002756059152,183.763,-5.761440843009,6,BKSKYL71,-0.796574794884612,0.439544421761027,0.483906534414727,0,0.0564953737384171,-0.241768155164637,-0.358056648802863,0.312241202976997,0.1599257658315,-0.265171968565085,0.229737580654568,-10.5403698691926,13.6698240866035,11.439044083611,-3.57465042850699,19.7699402397392,26.6093498511502,-23.084799278304,1.14954098642393,-30.9300857013983,-72.0138742898066,-16.6328318227324,13.6698240866035,-0.88023331337444,-3.57465042850699,2.84840306238854,9.55887938837764,-168.878664862427,-23.084799278304,43.3551029557297,-30.9300857013983,-34.8683306028932,3.23834374908694,-1329.45872801083,2.01156,29,13.075248756214,0,50.077582417577,47.0496,92,46.925502777323,0,176.05817307693,132.7013,29,-23.1006690516537,0,12.7467882310698,14.0332894980271,0,92,-65.7064750355961,0,48.2951845321741,31.5225807298291,0,29,13.6698240866035
7,141,19,9.856790123457,1,0,0,1,0.564001961746,0,1.727925824176,1.768,1.553,0,71,0.002650593917,176.731,-5.800458924364,7,BKLSAB71,-0.572697549217078,0.44018854416655,0.569848964215452,0,0.169626688718417,-0.241768155164637,-0.356944011439863,0.457841202976997,0.383803011499035,-0.264527846159562,0.315680010455292,-10.5403698691926,13.6698240866035,11.439044083611,-3.57465042850699,19.7699402397392,26.6093498511502,-23.084799278304,1.14954098642393,-30.9300857013983,-72.0138742898066,-16.6328318227324,13.6698240866035,-0.88023331337444,-3.57465042850699,2.84840306238854,9.55887938837764,-168.878664862427,-23.084799278304,43.3551029557297,-30.9300857013983,-34.8683306028932,3.23834374908694,-1329.45872801083,2.01156,29,16.356056890634,0,50.109848901104,51.272,92,46.925502777323,0,176.05817307693,132.7013,29,-16.6082289272953,0,12.7654677808299,16.5256199622481,0,92,-65.7064750355961,0,48.2951845321741,31.5225807298291,0,29,13.6698240866035
8,143,19,11.269135802469,1,0,0,1,0.731367541212,0,2.194120879121,1.768,1.972,0,71,0.000487341772,32.494,-7.494032269991,8,BKCNTU71,-0.312839153234405,0.679048256180444,0.569848964215452,0,0.336992268184417,-0.241768155164637,0.109251043505137,0.457841202976997,0.643661407481707,-0.0256681341456684,0.315680010455292,-10.5403698691926,13.6698240866035,11.439044083611,-3.57465042850699,19.7699402397392,26.6093498511502,-23.084799278304,1.14954098642393,-30.9300857013983,-72.0138742898066,-16.6328318227324,13.6698240866035,-0.88023331337444,-3.57465042850699,2.84840306238854,9.55887938837764,-168.878664862427,-23.084799278304,43.3551029557297,-30.9300857013983,-34.8683306028932,3.23834374908694,-1329.45872801083,2.01156,29,21.209658695148,0,63.629505494509,51.272,92,46.925502777323,0,176.05817307693,132.7013,29,-9.07233544379775,0,19.6923994292329,16.5256199622481,0,92,-65.7064750355961,0,48.2951845321741,31.5225807298291,0,29,13.6698240866035
9,144,19,12.135802469136,1,0,0,1,0.719013923762,0,2.056153846154,1.816,1.848,0,71,0.002415126882,161.031,-5.893490833865,9,BKELCT71,-0.3298745559938,0.614103973219493,0.596636280179102,0,0.324638650734417,-0.241768155164637,-0.0287159894618627,0.505841202976997,0.626626004722312,-0.0906124171066195,0.342467326418942,-10.5403698691926,13.6698240866035,11.439044083611,-3.57465042850699,19.7699402397392,26.6093498511502,-23.084799278304,1.14954098642393,-30.9300857013983,-72.0138742898066,-16.6328318227324,13.6698240866035,-0.88023331337444,-3.57465042850699,2.84840306238854,9.55887938837764,-168.878664862427,-23.084799278304,43.3551029557297,-30.9300857013983,-34.8683306028932,3.23834374908694,-1329.45872801083,2.01156,29,20.851403789098,0,59.628461538466,52.664,92,46.925502777323,0,176.05817307693,132.7013,29,-9.5663621238202,0,17.8090152233653,17.3024521251939,0,92,-65.7064750355961,0,48.2951845321741,31.5225807298291,0,29,13.6698240866035
10,145,19,12.97037037037,1,0,0,1,0.728323699422,0,1.978269230769,1.744,1.778,0,71,0.000551397804,36.765,-7.37054142125,10,BKRIVE71,-0.317009687546253,0.575489137091713,0.556181325486788,0,0.333948426394417,-0.241768155164637,-0.106600604846863,0.433841202976997,0.639490873169859,-0.129227253234399,0.302012371726629,-10.5403698691926,13.6698240866035,11.439044083611,-3.57465042850699,19.7699402397392,26.6093498511502,-23.084799278304,1.14954098642393,-30.9300857013983,-72.0138742898066,-16.6328318227324,13.6698240866035,-0.88023331337444,-3.57465042850699,2.84840306238854,9.55887938837764,-168.878664862427,-23.084799278304,43.3551029557297,-30.9300857013983,-34.8683306028932,3.23834374908694,-1329.45872801083,2.01156,29,21.121387283238,0,57.369807692301,50.576,92,46.925502777323,0,176.05817307693,132.7013,29,-9.19328093884135,0,16.6891849756597,16.1292584391168,0,92,-65.7064750355961,0,48.2951845321741,31.5225807298291,0,29,13.6698240866035
